Time (UTC), Frequency (MHz),Level (dB/Hz)
1551105545.0, 140.572265625, -47.144476849
1551105545.0, 140.57421875, -47.3232967334
1551105545.0, 140.576171875, -47.564919356
1551105545.0, 140.578125, -47.8556993313
1551105545.0, 140.580078125, -48.2680666799
1551105545.0, 140.58203125, -47.9574341284
1551105545.0, 140.583984375, -47.9084988198
1551105545.0, 140.5859375, -47.7975546963
1551105545.0, 140.587890625, -48.1008568971
1551105545.0, 140.58984375, -48.3976519683
1551105545.0, 140.591796875, -48.471256524
1551105545.0, 140.59375, -48.3793357696
1551105545.0, 140.595703125, -48.185047337
1551105545.0, 140.59765625, -48.0597275607
1551105545.0, 140.599609375, -48.4375765236
1551105545.0, 140.6015625, -48.5715314404
1551105545.0, 140.603515625, -48.4993164389
1551105545.0, 140.60546875, -48.4285586946
1551105545.0, 140.607421875, -48.3872112008
1551105545.0, 140.609375, -48.3359670978
1551105545.0, 140.611328125, -48.3005584532
1551105545.0, 140.61328125, -48.4586848849
1551105545.0, 140.615234375, -48.3787498176
1551105545.0, 140.6171875, -48.402786006
1551105545.0, 140.619140625, -48.2009644007
1551105545.0, 140.62109375, -48.3375645547
1551105545.0, 140.623046875, -48.2796970006
1551105545.0, 140.625, -48.0572155209
1551105545.0, 140.626953125, -48.3677678674
1551105545.0, 140.62890625, -48.1950602531
1551105545.0, 140.630859375, -48.327237842
1551105545.0, 140.6328125, -48.323293896
1551105545.0, 140.634765625, -48.4078378672
1551105545.0, 140.63671875, -48.3814514459
1551105545.0, 140.638671875, -48.7300127223
1551105545.0, 140.640625, -48.7177330952
1551105545.0, 140.642578125, -48.4804116744
1551105545.0, 140.64453125, -48.3288130282
1551105545.0, 140.646484375, -48.2756026242
1551105545.0, 140.6484375, -48.4072117749
1551105545.0, 140.650390625, -48.4258781939
1551105545.0, 140.65234375, -48.2694964497
1551105545.0, 140.654296875, -48.1646320138
1551105545.0, 140.65625, -48.4287742585
1551105545.0, 140.658203125, -48.4508307868
1551105545.0, 140.66015625, -48.3171309916
1551105545.0, 140.662109375, -48.4059810601
1551105545.0, 140.6640625, -48.6616571252
1551105545.0, 140.666015625, -48.7390178641
1551105545.0, 140.66796875, -48.4571893162
1551105545.0, 140.669921875, -48.5728468682
1551105545.0, 140.671875, -48.4902509393
1551105545.0, 140.673828125, -48.6343332254
1551105545.0, 140.67578125, -48.6649313324
1551105545.0, 140.677734375, -48.18067368
1551105545.0, 140.6796875, -48.0617751404
1551105545.0, 140.681640625, -48.0127929698
1551105545.0, 140.68359375, -48.0721969229
1551105545.0, 140.685546875, -48.1970377621
1551105545.0, 140.6875, -47.8029006741
1551105545.0, 140.689453125, -47.9385321954
1551105545.0, 140.69140625, -48.1087378863
1551105545.0, 140.693359375, -48.2895070338
1551105545.0, 140.6953125, -48.0900448354
1551105545.0, 140.697265625, -48.1281808383
1551105545.0, 140.69921875, -48.0542472965
1551105545.0, 140.701171875, -48.1689778832
1551105545.0, 140.703125, -48.1325132871
1551105545.0, 140.705078125, -48.6783714426
1551105545.0, 140.70703125, -48.6735023158
1551105545.0, 140.708984375, -48.6268690518
1551105545.0, 140.7109375, -48.4245106465
1551105545.0, 140.712890625, -48.3549393573
1551105545.0, 140.71484375, -48.3510104278
1551105545.0, 140.716796875, -48.6404201995
